ID,State,Name,Category,Income,Qualification,Description,LINKS,Type
1,West Bengal,Swami Vivekananda Merit-cum-Means Scholarship,All,0,B. Tech,Financial aid for meritorious and economically weak students for higher studies.,https://svmcm.wb.gov.in/,Government
2,West Bengal,Hindi Scholarship Scheme,All,0,12th,Supports study of Hindi in non-Hindi speaking states.,wbchse.wb.gov.in,Government
3,West Bengal,Sikshashree Scheme,SC/ST,0,Photography Courses,Financial help for SC/ST students in primary school.,wb.gov.in,Government
4,West Bengal,Pre-Matric Scholarship for SC/ST,SC/ST,200000,9th,Reduces dropout rates among SC/ST students by offering support during secondary education.,oasis.gov.in,Government
5,West Bengal,Post-Matric Scholarship for SC/ST/OBC,SC/ST/OBC,250000,11th,Aids SC/ST/OBC students pursuing post-secondary education.,oasis.gov.in,Government
6,West Bengal,Talent Support Stipend Programme,Minority,250000,11th,Stipend for minority students in technical and general education.,tsp.wbmdfc.co.in,Government
7,West Bengal,Bigyani Kanya Medha Britti Scholarship,SC/ST/OBC,250000,12th,For girls pursuing science,vidhyaa.in,Government
8,West Bengal,JBNSTS Scholarship (Junior),OBC,0,11th,Merit-based scholarship for school students in Science stream.,jbnsts.ac.in,Government
9,West Bengal,JBNSTS Scholarship (Senior),SC,0,B. Tech,For UG students in science/engineering/medical fields.,jbnsts.ac.in,Government
10,West Bengal,GP Birla Scholarship,All,0,12th,Financial support for meritorious students pursuing Graduation.,gpbirlaedufoundation.com,Private
11,West Bengal,Ananta Merit Scholarship,General,0,10th,Scholarship for academic excellence in board exams.,theglobalscholarship.org,Private
12,West Bengal,Aalo Scholarship,Minority,0,11th,Annual scholarship for economically weaker students.,aalo.org.in,Private
13,West Bengal,HDFC Bank ECSS Scholarship,General,0,1st,Education support for underprivileged students across all levels.,hdfcbankecss.com,Private
14,West Bengal,Colgate Scholarship,All,0,12th,For financially needy students; selection via merit.,colgate.com,Private
15,West Bengal,Keep India Smiling Foundation Program,General,0,12th,Offers education scholarships and mentorship support.,colgate.com,Private
16,West Bengal,Technip Energies India Scholarship Program,General,0,Graduation,Aids higher education costs for students in need.,buddy4study.com,Private
17,West Bengal,Vidyadhan Scholarship Program,All,0,10th,Assists academically bright students from economically weaker families.,vidyadhan.org,Private
18,West Bengal,Samsung Star Scholar Program,SC/ST,0,B. Tech,Scholarships for students in IITs/NITs and technical institutions.,samsung.com,Private
19,West Bengal,Nikon Scholarship Program,ST,0,Photography Courses,For students from weaker sections pursuing photography-related education.,buddy4study.com,Private
20,Maharashtra,Government Research Adhichatra,all,0,Post-Graduation,"Government Research Adhichatra 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to financially help students who have completed postgraduation and are willing to pursue Ph.D. degree. The selected students will receive INR 750 per month as a scholarship and INR 1,000 per year for other expenses.",https://mahadbt.maharashtra.gov.in/login/login,Government
21,Maharashtra,Assistance to Meritorious Students scholarship - Junior Level,all,0,FYJC,"Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help students of Class 11 & 12  who want to pursue higher education. The selected students will receive a scholarship of up to INR 2,300.",https://mahadbt.maharashtra.gov.in/login/login,Government
22,Maharashtra,Assistance to Meritorious Students scholarship - Senior Level,all,0,HSC,"Assistance to Meritorious Students Scholarship - Senior Level, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help Class 11 and 12 passed students who are willing to pursue higher studies. The selected students will receive up to INR 72,000 depending on course.",https://mahadbt.maharashtra.gov.in/login/login,Government
23,Maharashtra,Dr Panjabrao Deshmukh Hostel Maintenance Allowance,SEBC,800000,Medical,"The Dr Panjabrao Deshmukh Hostel Maintenance Allowance Scheme is presented by the organization of the Directorate of Medical Education Research under the Government of Maharashtra in order to provide proper opportunities to all the students who are currently taking into account MBBS, BDS, BAMS, BHMS, BPTH, BOTH, B.SC Nursing, BUMS, BP & O, BASLP courses in government-aided/Corporation/Private un-aided colleges",https://mahadbt.maharashtra.gov.in/login/login,Government
24,Maharashtra,Dr Panjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna(DTE),all,800000,Grduation or Post-graduation,"Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to financially help the students who are wards of registered labour/alpabhudharak (Marginal Land Holder) and who have taken admission in technical, professional or non-professional courses",https://mahadbt.maharashtra.gov.in/login/login,Government
25,Maharashtra,Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR),all,800000,Grduation or Post-graduation  or diploma,"MCAER Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR), Maharashtra 2022-23 is an initiative of the Maharashtra Council Of Agriculture Education And Research (MCAER) to financially help children of registered labour and marginal land farmers. The selected students will receive up to INR 30,000 for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
26,Maharashtra,Education Fee Reimbursement Scheme for Open Category Students,open,0,Medical,"Education Fee Reimbursement Scheme for Open Category Students, Maharashtra 2022-23 is an initiative of the Directorate of Medical Education Research, Government of Maharashtra to provide financial assistance to students belonging to the open category and pursuing MBBS, BDS, postgraduate medical (MD/MS) degree courses. The selected students will receive an Institute FRA-approved fee (private).",https://mahadbt.maharashtra.gov.in/login/login,Government
27,Maharashtra,Eklavya Scholarship,all,75000,Graduation,"Eklavya Scholarship 2022-23, Maharashtra is an opportunity by the Directorate of Higher Education, Government of Maharashtra to provide financial aid to graduate students in Arts, Law, Commerce, and Science who have taken admission to a postgraduate degree program. The selected scholars will receive INR 5,000 (one-time). ",https://mahadbt.maharashtra.gov.in/login/login,Government
28,Maharashtra,Government of India Post-Matric Scholarship,ST,250000,SSC,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra. The scholarship encourages ST students from financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education. The selected candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
29,Maharashtra,Maintenance Allowance for student Studying in professional courses,SC,250000,Professional ,"Maintenance Allowance for SC Students in Professional Courses 2022-23, Maharashtra is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to SC students enrolled in professional courses. The eligible candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
30,Maharashtra,Open Merit Scholarships for EBC Students,EBC,0,FYJC or HSC,"Open Merit Scholarships for EBC Students, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to provide financial assistance to EBC category students studying in Class 11 and 12. The key objective of the scholarship is to enable students to continue further their higher education. The selected students will receive a scholarship amount of up to INR 140 per month for boys and up to INR 160 per month for girls for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
31,Maharashtra,Open Merit Scholarships in Junior College,all,0,FYJC or HSC,"Open Merit Scholarships in Junior College, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to financially help students of Class 11 and 12. The objective of this scholarship is to motivate those students to pursue further higher education. The selected students will receive INR 50 per month for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
32,Maharashtra,Payment of Maintenance Allowance to VJNT and SBC Students ,VJNT or SBC,800000,post-matric,"Maintenance Allowance to VJNT and SBC Students in Professional Courses 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to provide financial help to VJNT and SBC category students who are pursuing professional courses and residing in hostels attached to professional colleges. The selected students will receive a  monthly maintenance allowance for a duration of 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
33,Maharashtra,Post Matric Scholarship Scheme (Government Of India ),ST,250000,post-matric,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra. The scholarship encourages ST students from financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education. The selected candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
34,Maharashtra,Post Matric Scholarship to OBC Students,OBC,100000,Post-matric,"Post Matric Scholarship to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help OBC students studying from Class 11 to Ph.D. level and residing in Maharashtra. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
35,Maharashtra,Post Matric Scholarship to SBC Students,SBC,100000,post-matric,"Post Matric Scholarship to SBC Students 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to financially help the SBC category students who have completed Class 10 and are continuing studies at post-matric level. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
36,Maharashtra,Post Matric Scholarship to VJNT Students,VJNT,150000,FYJC,"Post-Matric Scholarship to VJNT Students, Maharashtra 2022-23 is an initiative of VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help the VJNT category students who are studying from Class 11 to Ph.D. level. The scheme will financially help the VJNT category students to pursue higher education. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
